amount,known_device,trusted_beneficiary,normal_location,new_beneficiary,unusual_time,new_device,first_time_beneficiary,rapid_transactions,is_senior,risk_level
606.4001025906998,1,0,1,1,1,1,0,0,0,1
452.1995528195734,1,1,0,0,1,0,0,0,0,1
62.14179195658057,1,1,1,1,0,0,0,0,1,0
338.9820450523859,1,1,1,0,0,1,0,0,0,1
394.1382756265589,0,0,1,1,0,0,0,0,0,1
303.38054618966515,0,0,1,1,0,1,0,0,0,1
15.413201131045717,1,1,1,1,1,0,0,0,0,0
973.7118915121266,0,1,0,0,1,0,0,0,1,1
107.63741087509871,1,0,1,0,1,1,0,0,1,1
8.972180502906177,1,1,1,1,1,0,0,0,0,0
39.04023920044556,1,1,1,1,1,0,0,0,1,0
2574.4474316750684,0,1,1,1,0,0,1,0,1,2
415.6320946876546,0,1,1,1,0,0,0,0,0,1
810.2295561636208,1,0,1,1,0,1,0,0,0,1
434.7063995870584,1,1,1,0,1,1,0,0,1,1
622.0391997682885,1,1,1,0,1,1,0,0,1,1
49.27657321130122,1,1,1,0,0,0,0,0,1,0
2189.0412150292823,1,1,1,1,0,1,0,1,0,2
4081.1193059143316,0,1,0,1,0,1,1,1,0,2
1373.0578590137368,1,0,0,1,1,0,1,0,1,2
1074.9144233779266,0,0,0,0,1,1,0,0,0,2
12.26343371183755,1,1,1,1,0,0,0,0,0,0
157.44343123874222,1,0,1,1,0,1,0,0,1,1
4382.828997539548,1,1,0,1,0,0,1,0,0,2
362.55149846232484,1,0,1,0,0,1,0,0,0,1
1640.4865877487398,1,0,1,0,1,1,0,0,1,2
38.61562928943831,1,1,1,0,0,0,0,0,0,0
2395.6434187312225,1,0,0,0,0,1,0,0,1,2
735.3160023939924,0,0,1,1,0,0,0,0,1,1
4631.44927007312,0,0,1,0,0,0,1,1,0,2
71.03040042460611,1,1,1,1,0,0,0,0,1,0
11.928196807485087,1,1,1,1,0,0,0,0,0,0
610.4480916662835,0,1,0,0,1,0,0,0,0,1
216.2227636597009,0,0,0,0,0,0,0,0,0,1
2213.8509039229584,0,0,1,1,1,0,1,0,1,2
75.35410147406422,1,1,1,1,1,0,0,0,1,0
511.8639693304969,1,1,1,0,1,1,0,0,0,1
38.73957740298867,1,1,1,1,0,0,0,0,0,0
916.4056772621192,0,1,1,0,0,0,0,0,0,1
899.9991456908343,1,1,1,0,0,0,0,0,1,1
104.03352399297594,1,0,1,1,0,1,0,0,0,1
80.2229401154132,1,1,1,1,0,0,0,0,0,0
4603.738972772167,0,0,1,1,0,1,0,1,0,2
2.78679310228344,1,1,1,0,1,0,0,0,0,0
1315.0872679644658,1,1,1,0,0,1,1,0,1,2
44.134944386480925,1,1,1,1,0,0,0,0,0,0
865.4076260054113,0,1,1,1,0,1,0,0,1,1
70.10363626591521,1,1,1,0,0,0,0,0,1,0
45.528978786876166,1,1,1,0,0,0,0,0,1,0
92.31186450441601,1,1,1,0,0,0,0,0,1,0
397.2799048571619,1,0,1,0,1,1,0,0,0,1
1065.4808924826907,1,1,1,1,1,1,1,1,1,2
688.4241934458976,0,1,1,0,1,1,0,0,1,1
